zipcode,price
98001,low
98002,low
98003,low
98004,very_high
98005,high
98006,high
98007,medium
98008,high
98010,medium
98011,medium
98014,medium
98019,medium
98022,low
98023,low
98024,medium
98027,high
98028,medium
98029,high
98030,low
98031,low
98032,low
98033,high
98034,medium
98038,medium
98039,very_high
98040,very_high
98042,low
98045,medium
98052,high
98053,high
98055,low
98056,medium
98058,medium
98059,medium
98065,medium
98070,medium
98072,medium
98074,high
98075,high
98077,high
98092,low
98102,very_high
98103,medium
98105,high
98106,low
98107,medium
98108,medium
98109,high
98112,very_high
98115,high
98116,high
98117,medium
98118,medium
98119,high
98122,high
98125,medium
98126,medium
98133,medium
98136,medium
98144,high
98146,medium
98148,low
98155,medium
98166,medium
98168,low
98177,high
98178,low
98188,low
98198,low
98199,high
